,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings.Source,Ratings.Value,Metascore,imdbRating,imdbVotes,imdbID,Type,tomatoMeter,tomatoImage,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoConsensus,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,tomatoURL,DVD,BoxOffice,Production,Website,Response
180,Mardaani,2014,N/A,22-Aug-14,113 min,"Action, Drama, Thriller",Pradeep Sarkar,"Gopi Puthran, Vibha Singh","Rani Mukerji, Tahir Raj Bhasin, Priyanka Sharma, Mona Ambegaonkar","A story of Shivani Shivaji Roy, Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia.",Hindi,India,3 wins & 15 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1MTA5MzM2MF5BMl5BanBnXkFtZTgwNjk2MDgwMjE@._V1_SX300.jpg,Internet Movie Database,7.4/10,N/A,7.4,"7,818",tt3495000,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/mardaani/,N/A,N/A,Yash Raj Films,https://www.facebook.com/MardaaniTheFilm,TRUE
181,Raman Raghav 2.0,2016,NOT RATED,24-Jun-16,133 min,"Crime, Drama, Thriller",Anurag Kashyap,"Vasan Bala, Anurag Kashyap","Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala, Mukesh Chhabra","Set in present day Mumbai the story follows the life of a serial killer Ramanna who is inspired by an infamous serial killer from the 1960s, Raman Raghav. His strange obsession with Raghavan, a young cop keeps growing as he closely follows him without his knowledge and often creates situations where both of them come face to face.",Hindi,India,4 wins & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2MTgxZWYtMzVmMy00NjY0LWJkMjktZWE4OTYyOGI2MTUzXkEyXkFqcGdeQXVyNTE2MzU4OTA@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"7,057",tt5662932,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/raman_raghav_20/,N/A,N/A,Phantom Films,N/A,TRUE
182,Parineeta,2005,N/A,10-Jun-05,130 min,"Drama, Musical, Romance",Pradeep Sarkar,"Saratchandra Chatterjee (novel), Vidhu Vinod Chopra (screenplay), Rekha Nigam (dialogue), Pradeep Sarkar (screenplay)","Saif Ali Khan, Vidya Balan, Sanjay Dutt, Dia Mirza",The lifelong romance between Lolita (Balan) and Shekar (Khan) is upset by the arrival of another man.,Hindi,India,13 wins & 27 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwOTEyMTYyM15BMl5BanBnXkFtZTcwMTEyMTAzMQ@@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"7,059",tt0437407,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/10005381-parineeta/,13-Sep-05,"$750,846",Vinod Chopra Prod.,http://www.parineetathefilm.com,TRUE
183,Shaitan,2011,N/A,10-Jun-11,121 min,"Action, Crime, Drama",Bejoy Nambiar,"Abhijeet Deshpande (dialogue), K.S. Krishnan (lyrics), Bejoy Nambiar, Megha Ramaswamy, Colin Terrence (lyrics)","Kalki Koechlin, Shiv Pandit, Gulshan Devaiah, Rajeev Khandelwal",Five substance-abusing friends decide to fake a kidnapping in order to bribe a police constable for covering-up a hit-and-run accident.,"Hindi, English",India,5 wins & 13 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDJiNDQxYWUtNTM2Mi00MDg3LWI5NTYtNjU1NmVmNmYwNTE5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"6,230",tt1836912,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/shaitan/,N/A,N/A,N/A,N/A,TRUE
184,Ghajini,2008,N/A,25-Dec-08,183 min,"Action, Drama, Mystery",A.R. Murugadoss,"Piyush Mishra (dialogue), A.R. Murugadoss (story and screenplay)","Aamir Khan, Asin, Jiah Khan, Tinnu Anand",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,"Hindi, Urdu",India,7 wins & 18 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMzU3OTg2Nl5BMl5BanBnXkFtZTcwNzIyMjMyMg@@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"43,029",tt1166100,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/ghajini/,24-Mar-09,"$2,411,071",Adlab Films,N/A,TRUE
185,Srimanthudu,2015,N/A,07-Aug-15,158 min,"Action, Drama, Romance",Koratala Siva,Koratala Siva,"Darbha Appaji Ambarisha, Jagapathi Babu, Mahesh Babu, Shruti Haasan","Harsha, a multi-millionaire who has everything, still feels that there is something missing in his life. In an attempt to fill the void, he adopts a village to bring change in the people.",Telugu,India,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNWQxMDUyOGQtZTg1Yy00NTU2LTgxOGYtMzQ0M2Y5MWZmNGNmXkEyXkFqcGdeQXVyMjMyNjkwMTY@._V1_SX300.jpg,Internet Movie Database,7.7/10,N/A,7.7,"6,978",tt4727512,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/srimanthudu/,N/A,N/A,N/A,N/A,TRUE
186,Band Baaja Baaraat,2010,N/A,10-Dec-10,139 min,"Comedy, Drama, Romance",Maneesh Sharma,"Amitabh Bhattacharya (lyrics), Habib Faisal (screenplay), Maneesh Sharma (story)","Ranveer Singh, Anushka Sharma, Ranjit Batra, Manu Rishi Chadha","Shruti and Bittoo become partners in their very own ""Wedding planning ka bijness"" in Delhi and in the process discover friendship, love and one another.","Hindi, English, Panjabi",India,9 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTJlMWYwYTYtZGFjYS00NmY1LWFhNGEtNWMxZTVmZGY1N2MwXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"10,456",tt1610452,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/band_baaja_baaraat_2010/,04-Apr-11,N/A,Yash Raj Films,http://www.bandbaajabaaraat.com/,TRUE
187,Holiday,2014,N/A,06-Jun-14,170 min,"Action, Adventure, Crime",A.R. Murugadoss,A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Freddy Daruwala, Sumeet Raghvan","A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",Hindi,India,1 win & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2EwZjFiN2YtZjM1My00ODRkLWI5ZGMtMjEyMzY0MTBkYTkwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,7.4/10,N/A,7.4,"19,235",tt2556308,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/holiday_2014/,N/A,"$707,672",Reliance Entertainment,http://feriadofilm.com/,TRUE
188,Pyaar Ka Punchnama 2,2015,N/A,16-Oct-15,137 min,"Comedy, Drama, Romance",Luv Ranjan,"Luv Ranjan (story), Rahul Mody (screenplay), Tarun Jain (screenplay), Luv Ranjan (screenplay)","Sunny Singh Nijjar, Sonalli Sehgal, Kartik Aaryan, Nushrat Bharucha","After falling in love, three roommates experience changes in their lives.",Hindi,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxNDY5NjA5NV5BMl5BanBnXkFtZTgwNjcyMTk5NjE@._V1_SX300.jpg,Internet Movie Database,7.4/10,N/A,7.4,"10,041",tt4430136,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/pyaar_ka_punchnama_2/,N/A,"$39,312",Panorama Studios,N/A,TRUE
189,Bhool Bhulaiyaa,2007,N/A,12-Oct-07,159 min,"Comedy, Horror, Mystery",Priyadarshan,"Neeraj Vora (screenplay), Manisha Korde (dialogue), Madhu Muttam (original story)","Akshay Kumar, Vidya Balan, Ameesha Patel, Shiney Ahuja","When U.S.-based Siddharth visits his Indian home town with his new wife, he insists they stay at the ancestral home, laughing off family members' warnings of ghostly goings-on in the ...","Hindi, Bengali",India,11 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMjQ1Mjg5MV5BMl5BanBnXkFtZTgwOTk3MTA2MDE@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"14,307",tt0995031,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/bhool_bhulaiyaa/,04-Dec-07,"$1,000,000",Eros Entertainment,http://www.bhoolbhulaiyaa.com,TRUE
190,Dookudu,2011,N/A,23-Sep-11,170 min,"Action, Comedy",Sreenu Vaitla,"Gopimohan (story), Vintha Upendra Reddy Upendra Madhav (Associate Writer), Kona Venkat (dialogue)","Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Srinivasa Rao Kota","Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",Telugu,India,32 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjg4OTgwNTExNF5BMl5BanBnXkFtZTcwMTMzNTM4Ng@@._V1_SX300.jpg,Internet Movie Database,7.6/10,N/A,7.6,"10,197",tt1756476,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/dookudu_2011/,N/A,N/A,Ficus,http://www.princemahesh.com,TRUE
191,Shanghai,2012,N/A,08-Jun-12,120 min,"Crime, Thriller",Dibakar Banerjee,"Vasilis Vasilikos (adapted from the novel 'Z' by), Urmi Juvekar (screenplay), Dibakar Banerjee (screenplay)","Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin",Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,Hindi,India,2 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MTAwODQ2N15BMl5BanBnXkFtZTcwNDY3MzM3Nw@@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"7,854",tt2072227,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/shanghai_2012/,N/A,N/A,FLF Films,http://www.facebook.com/ShanghaiTheFilm,TRUE
192,Namastey London,2007,N/A,23-Mar-07,128 min,"Comedy, Drama, Romance",Vipul Amrutlal Shah,"Suresh Nair, Ritesh Shah (dialogue)","Akshay Kumar, Katrina Kaif, Rishi Kapoor, Clive Standen","A man takes his thoroughly-British daughter to his home country, India. There, he arranges her marriage to someone she considers a fool. The daughter attempts to outwit them, but the groom quietly and patiently hatches his own plan.","Hindi, German",India,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BM2E3OGZiZjgtMDYzYy00OWIzLTlmZDItOWEwYWE5MjdmMWFjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"16,653",tt0795434,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/namastey-london/,05-Jun-07,"$1,000,000",Eros Entertainment,http://erosentertainment.com/namasteylondon/,TRUE
193,Taxi No. 9 2 11: Nau Do Gyarah,2006,N/A,24-Feb-06,116 min,"Comedy, Drama, Thriller",Milan Luthria,"Rajat Arora (story), Rajat Arora, Vishal Dadlani (lyrics), Dev Kohli (lyrics)","Nana Patekar, John Abraham, Sonali Kulkarni, Sameera Reddy",A cabbie (Patekar) and businessman (Abraham) both in need of big money partake in a two-hour adventure together.,Hindi,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxMTc0NTItODUyYy00ODY1LTg0NDEtZGI0MzQxZGY5NmFhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"6,203",tt0476884,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/taxi_number_9211/,09-May-06,"$102,466",UTV Communications,http://www.taxi9211.com/,TRUE
194,Tere Bin Laden,2010,NOT RATED,16-Jul-10,95 min,"Comedy, Drama",Abhishek Sharma,"Mohammad Ahmad (dialogue), Abhishek Sharma (story & screenplay)","Ali Zafar, Pradhuman Singh, Piyush Mishra, Nikhil Ratnaparkhi","A reporter casts a fake Bin Laden to act in his video message to America, so he can immigrate there.","Hindi, Urdu, English, Panjabi, Arabic",India,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NDM4NjcyMF5BMl5BanBnXkFtZTcwMzA1NTI3Mw@@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"8,356",tt1629391,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/tere_bin_laden/,23-Nov-10,N/A,Vista India,http://www.terebinladen.com/,TRUE
195,No One Killed Jessica,2011,N/A,07-Jan-11,136 min,"Biography, Crime, Drama",Raj Kumar Gupta,"Amitabh Bhattacharya (lyrics), Raj Kumar Gupta (story screenplay and dialogue)","Rani Mukerji, Vidya Balan, Myra Karn, Neil Bhoopalam","A journalist, who is more of an activist teams up with the sister of a murdered model, as she gets interested in the case and wants to bring justice to her case.","Hindi, English",India,1 win & 9 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4Mzk0NDY3OV5BMl5BanBnXkFtZTcwMjE1MTkyNA@@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"8,235",tt1734110,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/no_one_killed_jessica/,08-Mar-11,"$439,801",UTV Communications,http://www.noonekilledjessica.com/,TRUE
196,Jolly LLB 2,2017,N/A,10-Feb-17,137 min,"Action, Comedy, Drama",Subhash Kapoor,Subhash Kapoor,"Akshay Kumar, Huma Qureshi, Saurabh Shukla, Annu Kapoor",Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.,"Hindi, Kashmiri",India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMDY5MzFlYzEtNTg0YS00OGM5LWI1ZDMtZDkxN2Y2OTI1NGUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM1NjkwMDI@._V1_SX300.jpg,Internet Movie Database,7.4/10,N/A,7.4,"11,255",tt5982852,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.rottentomatoes.com/m/jolly_llb_2,N/A,"$1,632,440",Fox Star India,N/A,TRUE
197,Te3n,2016,N/A,10-Jun-16,136 min,"Drama, Mystery, Thriller",Ribhu Dasgupta,"Bijesh Jayarajan (screenplay), Geun-seop Jeong (story by: based on Korean film ""Montage""), Suresh Nair (screenplay), Ritesh Shah (dialogue)","Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Sabyasachi Chakraborty","A grandfather, a priest, and a police officer investigate the case of a kidnapped child.",Hindi,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE2NDYzNDc1OV5BMl5BanBnXkFtZTgwNTI1ODA4ODE@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"7,462",tt4814290,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/te3n/,N/A,"$258,066",Cinemaa Pictures,N/A,TRUE
198,D-Day,2013,N/A,19-Jul-13,153 min,"Action, Adventure, Crime",Nikkhil Advani,"Nikkhil Advani, Ritesh Shah, Suresh Nair, Niranjan Iyengar, Nikkhil Advani (screenplay), Ritesh Shah (dialogue)","Rishi Kapoor, Irrfan Khan, Arjun Rampal, Shruti Haasan",A team of experts dispatched to bring in The Most Wanted Man in India almost achieves the unthinkable ... until something goes horribly wrong.,Hindi,India,5 wins & 16 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MDQzMjU3M15BMl5BanBnXkFtZTcwMDY1NzA4OQ@@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"6,962",tt2385104,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/d_day_2013/,N/A,N/A,Yash Raj Films,http://www.waitfordday.com/,TRUE
199,Nanban,2012,N/A,12-Jan-12,188 min,"Comedy, Drama, Romance",S. Shankar,"Rajkumar Hirani (screenplay), Abhijat Joshi (screenplay), Madhan Karky (dialogue), S. Shankar (dialogue)","Joseph Vijay, Jiiva, Srikanth, Ileana D'Cruz","10 years after finishing college, two best friends and their enemy go on a search for their third friend, while finding out some truths along the way.","Tamil, Telugu",India,5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg5ZjgxMzQtYjZkMy00MmM4LTljNTItZmUzNThlZGJiMzAwXkEyXkFqcGdeQXVyMzc1MDM1ODA@._V1_SX300.jpg,Internet Movie Database,7.6/10,N/A,7.6,"9,011",tt2180477,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/nanban/,N/A,N/A,Gemini Film Circuit,N/A,TRUE
200,Ayan,2009,N/A,03-Apr-09,162 min,Action,Anand K.V.,"A.N. Balakrishnan (dialogue), A.N. Balakrishnan (story and screenplay), Anand K.V. (story and screenplay), D. Suresh (dialogue), D. Suresh (story and screenplay)","Suriya, Tamannaah Bhatia, Prabhu, Jagan","A young man's smuggling lifestyle takes a serious turn, when a fierce rival tries to eliminate him from the business.",Tamil,India,3 wins & 9 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzQ0YzA0MjItMDc5ZC00ZmI4LThjZjgtYjdiZTNmYWQ0MGY0XkEyXkFqcGdeQXVyNDA1NTY2Nzk@._V1_SX300.jpg,Internet Movie Database,7.3/10,N/A,7.3,"5,769",tt1355546,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/ayan_2009/,N/A,N/A,Eros Entertainment,N/A,TRUE
201,Nannaku Prematho,2016,N/A,12-Jan-16,168 min,"Action, Drama, Fantasy",Sukumar,"Vikram Juthika (dialogue), Hussain Sha Kiran (additional story), Srinivas Rongali (dialogue), Buchi Babu Sana (dialogue), Sukumar","Junior N.T.R., Rakul Preet Singh, Jagapathi Babu, Rajendraprasad",An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,Telugu,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMWRiOTQyMzktNWZlNS00ZjYxLTkwNTItYzA4YzVkNWRkYzRjXkEyXkFqcGdeQXVyNjQ4ODc3Nzc@._V1_SX300.jpg,Internet Movie Database,7.9/10,N/A,7.9,"5,822",tt5098128,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/nannaku_prematho/,N/A,N/A,N/A,N/A,TRUE
202,Uppi 2,2015,NOT RATED,22-Aug-15,135 min,"Action, Mystery, Thriller",Upendra,Upendra,"Upendra, Kristina Akheeva, Parul Yadav, Sayaji Shinde","A psychological thriller which depicts the fact that ""Today is a gift - that's why it's called Present"" in an unusual way. It is about a man called Neenu, who lives in the present. The film...",Kannada,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMTA0NzY2NF5BMl5BanBnXkFtZTgwNDQ1ODk1NjE@._V1_SX300.jpg,Internet Movie Database,8.5/10,N/A,8.5,"7,186",tt4833824,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE
203,Paa,2009,N/A,04-Dec-09,133 min,"Comedy, Drama",R. Balki,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal",A father tries to help his son cope with a rare condition that causes the young boy to age beyond his years.,Hindi,India,11 wins & 10 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNDAwMzc4M15BMl5BanBnXkFtZTcwODAzMzg5Mg@@._V1_SX300.jpg,Internet Movie Database,7.2/10,30,7.2,"8,773",tt1532957,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/1221483-paa/,26-Jan-10,"$199,228",Big Pictures,http://www.paathefilm.com,TRUE
204,Talaash,2012,NOT RATED,30-Nov-12,140 min,"Crime, Drama, Mystery",Reema Kagti,"Farhan Akhtar (dialogue), Anurag Kashyap (additional dialogue), Zoya Akhtar (story), Reema Kagti (story), Zoya Akhtar (screenplay), Reema Kagti (screenplay)","Aamir Khan, Kareena Kapoor Khan, Nawazuddin Siddiqui, Rani Mukerji","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.","Hindi, English, Marathi, Tamil",India,5 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTg5NzI3NzQzNl5BMl5BanBnXkFtZTcwMjM3MDU2OA@@._V1_SX300.jpg,Internet Movie Database,7.3/10,65,7.3,"31,693",tt1787988,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/talaash/,27-Feb-13,"$2,706,375",Reliance Big Pictures,http://www.facebook.com/TalaashTheOfficial,TRUE
205,Mohra,1994,N/A,01-Jul-94,177 min,"Action, Drama, Thriller",Rajiv Rai,"Shabbir Boxwala (screenplay), Rajiv Rai (screenplay), Rajiv Rai (story), Naeem Sha (dialogue director), Dilip Shukla (dialogue)","Akshay Kumar, Raveena Tandon, Naseeruddin Shah, Sunil Shetty","Journalist Roma Singh is the daughter of a jailer. While taking a tour of the jail, she is molested by some of the inmates, and an inmate, Vishal Agnihotri comes to her assistance. She ...",Hindi,India,8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwMTkzOTUwOV5BMl5BanBnXkFtZTcwNTgxNDE0MQ@@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"5,738",tt0110546,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/mohra/,21-Dec-99,N/A,N/A,N/A,TRUE
206,Nh10,2015,N/A,13-Mar-15,115 min,"Crime, Drama, Horror",Navdeep Singh,Sudip Sharma,"Anushka Sharma, Ravi Beniwal, Siddharth Bharadwaj, Neil Bhoopalam","On their way to a weekend retreat, a married couple find their dream vacation turn into a nightmare when they cross paths with a dangerous gang.",Hindi,India,4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTUyMzk3MzQ5OV5BMl5BanBnXkFtZTgwNDM3MjM5NDE@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"9,251",tt3742284,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/nh10/,N/A,"$262,586",Eros Entertainment,N/A,TRUE
207,Fanaa,2006,N/A,26-May-06,168 min,"Drama, Romance, Thriller",Kunal Kohli,"Shibani Bathija (screenplay), Shibani Bathija (story), Shibani Bathija","Aamir Khan, Kajol, Rishi Kapoor, Tabu",A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?,"Hindi, Indonesian",India,5 wins & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYzhkNTYzMzktNmZlZi00YmU4LTlmYjgtZTJmYWJjZWI5ZGRkXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"24,735",tt0439662,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/1194626-fanaa/,26-Sep-06,"$2,047,752",Yash Raj Films,http://www1.yashrajfilms.com/fanaamicro/index.asp?popid=0,TRUE
208,i,2015,N/A,14-Jan-15,188 min,"Action, Romance, Thriller",S. Shankar,"A.N. Balakrishnan (dialogue), S. Shankar (story and screenplay), D. Suresh (dialogue)","Vikram, Amy Jackson, Suresh Gopi, Upen Patel",A successful model's professional and personal life takes an ugly turn when he develops a hunchback due to an injection. He then plots revenge against the people who ruined his life.,Tamil,India,4 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNDk3ODM1N15BMl5BanBnXkFtZTgwMTk1NjU5MzE@._V1_SX300.jpg,Internet Movie Database,7.4/10,N/A,7.4,"14,645",tt2302966,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/i_2019/,N/A,N/A,Aascar Films,https://www.facebook.com/aascarfilm,TRUE
209,Don,2006,NOT RATED,20-Oct-06,171 min,"Action, Crime, Thriller",Farhan Akhtar,"Salim Khan (based on an original screenplay by), Javed Akhtar (based on an original screenplay by), Farhan Akhtar","Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar","A simple man, Vijay, is recruited by a police officer to masquerade as Don, the leader of an international gang of smugglers. But things go wrong when the officer is killed and Vijay is left to fend for himself.",Hindi,India,1 win & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BZWQyZDVmNjYtNWVkMC00YTQzLTk1NDgtMzVjMzZiMjM3NzMzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,7.2/10,N/A,7.2,"27,388",tt0461936,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/1168380-don/,12-Dec-06,"$2,209,023",UTV Communications,http://www.donthefilm.com/,TRUE
210,Gunda,1998,N/A,N/A,129 min,"Action, Comedy, Crime",Kanti Shah,Bashir Babar,"Mithun Chakraborty, Verna Raj, Ishrat Ali, Rana Jung Bahadur","When a coolie's family is murdered by a group of gangsters and politicians, he swears revenge on them.",Hindi,India,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BN2NkYzhlMDQtM2QwOS00NjJmLWI1M2QtMDFjNzE4ZmFkZjkxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,Internet Movie Database,7.7/10,N/A,7.7,"8,232",tt0497915,movie,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.rottentomatoes.com/m/gunda/,N/A,N/A,N/A,N/A,TRUE
